Reporter Identifier	VALUE
ILMN_1774196	11.67231475
ILMN_1776125	7.151174061
ILMN_1800179	6.561819803
ILMN_1751378	11.40033704
ILMN_1795312	6.295051121
ILMN_1653718	8.273983746
ILMN_1718990	6.989550031
ILMN_1725098	6.401513735
ILMN_1655913	7.843057585
ILMN_1894259	6.328046594
ILMN_1818872	6.680676972
ILMN_1838645	6.384564692
ILMN_1684391	11.35609055
ILMN_1656615	6.920100175
ILMN_1668554	6.75112863
ILMN_1850795	6.376367756
ILMN_1659199	6.418816652
ILMN_1788232	6.352934189
ILMN_1668541	6.223423557
ILMN_1682015	7.228752003
ILMN_1660170	6.532204588
ILMN_2088847	7.376102351
ILMN_1662008	6.37688469
ILMN_1898253	6.355778034
ILMN_1720771	7.377783279
ILMN_1742549	6.359499453
ILMN_1879135	6.554230069
ILMN_1885116	6.535959743
ILMN_1679910	6.498128415
ILMN_1783705	6.413081691
ILMN_1846430	6.562167368
ILMN_2221808	8.220400963
ILMN_1907971	6.410294815
ILMN_1797534	8.077764077
ILMN_2144574	6.964559378
ILMN_1681643	6.585582962
ILMN_1790029	6.730659212
ILMN_1821397	7.375004551
ILMN_1727315	6.471896005
ILMN_1784113	9.238947564
ILMN_1867352	6.718061325
ILMN_1722450	6.882515268
ILMN_1885940	6.282737692
ILMN_2342851	6.753840242
ILMN_1751452	7.97951139
ILMN_2117623	6.732906789
ILMN_1889137	6.486736126
ILMN_2202894	6.4107421
ILMN_1656404	7.07481381
ILMN_1767810	6.252631407
ILMN_1876177	6.483415717
ILMN_2168079	6.615475053
ILMN_1657619	6.434123434
ILMN_2105549	6.627532968
ILMN_1683939	6.499853178
ILMN_1747442	6.378111221
ILMN_1669631	8.320578783
ILMN_1705447	8.622056715
ILMN_1817370	6.317113455
ILMN_1908952	6.366568809
ILMN_2055781	6.577386573
ILMN_1743654	6.750023992
ILMN_1766637	10.81909408
ILMN_1751492	7.789590869
ILMN_1652913	7.498178587
ILMN_1897387	6.207940296
ILMN_1749662	11.17630192
ILMN_1677509	7.455819348
ILMN_1707292	6.316240591
ILMN_1657948	6.499606054
ILMN_1723962	9.107346488
ILMN_1755303	8.101671026
ILMN_1802743	6.452497072
ILMN_1743797	6.205421481
ILMN_1659905	7.964992863
ILMN_1766542	7.108280855
ILMN_1899221	6.317825787
ILMN_1755321	7.572682378
ILMN_1701776	6.433753046
ILMN_1652540	7.517157258
ILMN_2380850	8.303092431
ILMN_2312732	7.739040596
ILMN_1844004	6.653919477
ILMN_1780334	6.454368855
ILMN_1705991	8.623802444
ILMN_1842740	6.700307318
ILMN_1680730	6.562511666
ILMN_1719393	6.562138162
ILMN_1888658	6.60027158
ILMN_1702712	6.325478112
ILMN_2088825	7.287300908
ILMN_1823746	6.502692704
ILMN_1735439	6.35320675
ILMN_1702972	6.248176859
ILMN_1693438	7.104452729
ILMN_1796642	6.379564037
ILMN_1752107	6.529807631
ILMN_1711270	9.747172211
ILMN_1728098	6.454731673
ILMN_1692365	6.466081287
ILMN_1810875	8.016950872
ILMN_1751127	6.327334465
ILMN_1774974	7.0123075
ILMN_1841945	6.504914343
ILMN_1875919	6.328680544
ILMN_1671742	9.038170343
ILMN_2206716	12.27913483
ILMN_1902080	6.541973503
ILMN_1727205	6.629192239
ILMN_1907926	6.496276374
ILMN_1801098	6.377857385
ILMN_1669314	6.637652639
ILMN_1897864	6.633640319
ILMN_1654413	6.388393561
ILMN_1809550	6.371882954
ILMN_1676288	6.564877453
ILMN_1796490	9.254671056
ILMN_1764225	6.548122752
ILMN_1825461	6.317743799
ILMN_1718295	7.067219673
